"customerkey","geographykey","name","birthdate","gender","occupation","commutedistance","city","state","country","postalcode"
11000,26,"Jon Yang","1971-10-06","M","Professional","1-2 Miles","Rockhampton","Queensland","Australia","4700"
11001,37,"Eugene Huang","1976-05-10","M","Professional","0-1 Miles","Seaford","Victoria","Australia","3198"
11002,31,"Ruben Torres","1971-02-09","M","Professional","2-5 Miles","Hobart","Tasmania","Australia","7001"
11003,11,"Christy Zhu","1973-08-14","F","Professional","5-10 Miles","North Ryde","New South Wales","Australia","2113"
11004,19,"Elizabeth Johnson","1979-08-05","F","Professional","1-2 Miles","Wollongong","New South Wales","Australia","2500"
11005,22,"Julio Ruiz","1976-08-01","M","Professional","5-10 Miles","East Brisbane","Queensland","Australia","4169"
11006,8,"Janet Alvarez","1976-12-02","F","Professional","5-10 Miles","Matraville","New South Wales","Australia","2036"
11007,40,"Marco Mehta","1969-11-06","M","Professional","0-1 Miles","Warrnambool","Victoria","Australia","3280"
11008,32,"Rob Verhoff","1975-07-04","F","Professional","10+ Miles","Bendigo","Victoria","Australia","3550"
11009,25,"Shannon Carlson","1969-09-29","M","Professional","5-10 Miles","Hervey Bay","Queensland","Australia","4655"
11010,22,"Jacquelyn Suarez","1969-08-05","F","Professional","5-10 Miles","East Brisbane","Queensland","Australia","4169"
11011,22,"Curtis Lu","1969-05-03","M","Professional","10+ Miles","East Brisbane","Queensland","Australia","4169"
11012,611,"Lauren Walker","1979-01-14","F","Management","1-2 Miles","Bremerton","Washington","United States","98312"
11013,543,"Ian Jenkins","1979-08-03","M","Management","0-1 Miles","Lebanon","Oregon","United States","97355"
11014,634,"Sydney Bennett","1973-11-06","F","Management","1-2 Miles","Redmond","Washington","United States","98052"
11015,301,"Chloe Young","1984-08-26","F","Skilled Manual","5-10 Miles","Burbank","California","United States","91502"
11016,329,"Wyatt Hill","1984-10-25","M","Skilled Manual","5-10 Miles","Imperial Beach","California","United States","91932"
11017,39,"Shannon Wang","1949-12-24","F","Skilled Manual","5-10 Miles","Sunbury","Victoria","Australia","3429"
11018,32,"Clarence Rai","1955-10-06","M","Clerical","5-10 Miles","Bendigo","Victoria","Australia","3550"
11019,52,"Luke Lal","1983-09-04","M","Skilled Manual","5-10 Miles","Langley","British Columbia","Canada","V3A 4R2"
11020,53,"Jordan King","1984-03-19","M","Skilled Manual","1-2 Miles","Metchosin","British Columbia","Canada","V9"
11021,536,"Destiny Wilson","1984-03-02","F","Skilled Manual","1-2 Miles","Beaverton","Oregon","United States","97005"
11022,609,"Ethan Zhang","1984-04-10","M","Skilled Manual","5-10 Miles","Bellingham","Washington","United States","98225"
11023,298,"Seth Edwards","1984-04-09","M","Skilled Manual","1-2 Miles","Bellflower","California","United States","90706"
11024,311,"Russell Xie","1984-03-16","M","Skilled Manual","5-10 Miles","Concord","California","United States","94519"
11025,24,"Alejandro Beck","1951-06-22","M","Clerical","1-2 Miles","Hawthorne","Queensland","Australia","4171"
11026,4,"Harold Sai","1951-10-01","M","Clerical","1-2 Miles","Goulburn","New South Wales","Australia","2580"
11027,40,"Jessie Zhao","1952-06-05","M","Clerical","5-10 Miles","Warrnambool","Victoria","Australia","3280"
11028,17,"Jill Jimenez","1951-10-09","F","Clerical","1-2 Miles","St. Leonards","New South Wales","Australia","2065"
11029,32,"Jimmy Moreno","1952-06-19","M","Clerical","1-2 Miles","Bendigo","Victoria","Australia","3550"
11030,28,"Bethany Yuan","1958-02-18","F","Clerical","1-2 Miles","Cloverdale","South Australia","Australia","6105"
11031,8,"Theresa Ramos","1953-02-18","F","Skilled Manual","1-2 Miles","Matraville","New South Wales","Australia","2036"
11032,35,"Denise Stone","1952-12-08","F","Skilled Manual","1-2 Miles","Melbourne","Victoria","Australia","3000"
11033,9,"Jaime Nath","1958-09-19","M","Skilled Manual","5-10 Miles","Milsons Point","New South Wales","Australia","2061"
11034,12,"Ebony Gonzalez","1952-12-16","F","Skilled Manual","5-10 Miles","North Sydney","New South Wales","Australia","2055"
11035,33,"Wendy Dominguez","1953-08-23","F","Clerical","1-2 Miles","Cranbourne","Victoria","Australia","3977"
11036,343,"Jennifer Russell","1984-06-16","F","Skilled Manual","1-2 Miles","National City","California","United States","91950"
11037,49,"Chloe Garcia","1983-05-27","F","Clerical","5-10 Miles","Cliffside","British Columbia","Canada","V8Y 1L1"
11038,6,"Diana Hernandez","1953-09-20","F","Clerical","5-10 Miles","Lavender Bay","New South Wales","Australia","2060"
11039,19,"Marc Martin","1954-06-16","M","Clerical","5-10 Miles","Wollongong","New South Wales","Australia","2500"
11040,642,"Jesse Murphy","1983-01-29","M","Skilled Manual","1-2 Miles","Tacoma","Washington","United States","98403"
11041,325,"Amanda Carter","1983-04-15","F","Skilled Manual","1-2 Miles","Glendale","California","United States","91203"
11042,338,"Megan Sanchez","1982-12-11","F","Skilled Manual","0-1 Miles","Los Angeles","California","United States","90012"
11043,325,"Nathan Simmons","1981-08-23","M","Skilled Manual","5-10 Miles","Glendale","California","United States","91203"
11044,25,"Adam Flores","1954-11-21","M","Clerical","1-2 Miles","Hervey Bay","Queensland","Australia","4655"
11045,8,"Leonard Nara","1955-11-16","M","Skilled Manual","1-2 Miles","Matraville","New South Wales","Australia","2036"
11046,6,"Christine Yuan","1955-09-19","F","Skilled Manual","5-10 Miles","Lavender Bay","New South Wales","Australia","2060"
11047,34,"Jaclyn Lu","1955-08-27","F","Skilled Manual","1-2 Miles","Geelong","Victoria","Australia","3220"
11048,39,"Jeremy Powell","1956-05-21","M","Skilled Manual","5-10 Miles","Sunbury","Victoria","Australia","3429"
11049,307,"Carol Rai","1986-01-15","F","Clerical","5-10 Miles","Chula Vista","California","United States","91910"
11050,31,"Alan Zheng","1957-03-06","M","Skilled Manual","5-10 Miles","Hobart","Tasmania","Australia","7001"
11051,21,"Daniel Johnson","1957-01-31","M","Skilled Manual","1-2 Miles","Caloundra","Queensland","Australia","4551"
11052,8,"Heidi Lopez","1957-02-03","F","Clerical","5-10 Miles","Matraville","New South Wales","Australia","2036"
11053,359,"Ana Price","1986-02-17","F","Skilled Manual","1-2 Miles","San Diego","California","United States","92102"
11054,34,"Deanna Munoz","1957-09-07","F","Skilled Manual","5-10 Miles","Geelong","Victoria","Australia","3220"
11055,22,"Gilbert Raje","1957-09-02","M","Skilled Manual","5-10 Miles","East Brisbane","Queensland","Australia","4169"
11056,10,"Michele Nath","1958-10-01","F","Skilled Manual","5-10 Miles","Newcastle","New South Wales","Australia","2300"
11057,5,"Carl Andersen","1970-04-07","M","Management","1-2 Miles","Lane Cove","New South Wales","Australia","1597"
11058,29,"Marc Diaz","1965-04-23","M","Skilled Manual","1-2 Miles","Findon","South Australia","Australia","5023"
11059,27,"Ashlee Andersen","1959-09-29","F","Skilled Manual","5-10 Miles","Townsville","Queensland","Australia","4810"
11060,40,"Jon Zhou","1959-09-14","M","Skilled Manual","5-10 Miles","Warrnambool","Victoria","Australia","3280"
11061,23,"Todd Gao","1976-02-20","M","Skilled Manual","5-10 Miles","Gold Coast","Queensland","Australia","4217"
11062,547,"Noah Powell","1981-03-01","M","Skilled Manual","5-10 Miles","Portland","Oregon","United States","97205"
11063,634,"Angela Murphy","1980-10-04","F","Skilled Manual","5-10 Miles","Redmond","Washington","United States","98052"
11064,315,"Chase Reed","1981-06-05","M","Skilled Manual","5-10 Miles","Downey","California","United States","90241"
11065,331,"Jessica Henderson","1979-04-08","F","Skilled Manual","1-2 Miles","La Jolla","California","United States","92806"
11066,543,"Grace Butler","1979-05-27","F","Professional","5-10 Miles","Lebanon","Oregon","United States","97355"
11067,632,"Caleb Carter","1982-03-25","M","Professional","5-10 Miles","Port Orchard","Washington","United States","98366"
11068,40,"Tiffany Liang","1966-09-19","F","Skilled Manual","5-10 Miles","Warrnambool","Victoria","Australia","3280"
11069,23,"Carolyn Navarro","1966-09-17","F","Skilled Manual","1-2 Miles","Gold Coast","Queensland","Australia","4217"
11070,39,"Willie Raji","1960-10-02","M","Skilled Manual","5-10 Miles","Sunbury","Victoria","Australia","3429"
11071,24,"Linda Serrano","1960-12-23","F","Skilled Manual","5-10 Miles","Hawthorne","Queensland","Australia","4171"
11072,17,"Casey Luo","1960-08-05","F","Skilled Manual","1-2 Miles","St. Leonards","New South Wales","Australia","2065"
11073,16,"Amy Ye","1962-02-11","F","Skilled Manual","5-10 Miles","Springwood","New South Wales","Australia","2777"
11074,28,"Levi Arun","1962-02-25","M","Skilled Manual","5-10 Miles","Cloverdale","South Australia","Australia","6105"
11075,32,"Felicia Jimenez","1963-05-16","F","Professional","5-10 Miles","Bendigo","Victoria","Australia","3550"
11076,19,"Blake Anderson","1963-01-10","M","Professional","5-10 Miles","Wollongong","New South Wales","Australia","2500"
11077,36,"Leah Ye","1963-03-19","F","Professional","1-2 Miles","Melton","Victoria","Australia","3337"
11078,49,"Gina Martin","1985-01-06","F","Professional","1-2 Miles","Cliffside","British Columbia","Canada","V8Y 1L1"
11079,34,"Donald Gonzalez","1970-03-07","M","Management","0-1 Miles","Geelong","Victoria","Australia","3220"
11080,30,"Damien Chander","1965-01-13","M","Management","0-1 Miles","Perth","South Australia","Australia","6006"
11081,311,"Savannah Baker","1972-01-21","F","Management","2-5 Miles","Concord","California","United States","94519"
11082,322,"Angela Butler","1972-02-01","F","Management","1-2 Miles","Fremont","California","United States","94536"
11083,336,"Alyssa Cox","1977-03-11","F","Management","1-2 Miles","Lincoln Acres","California","United States","91950"
11084,543,"Lucas Phillips","1963-03-12","M","Skilled Manual","1-2 Miles","Lebanon","Oregon","United States","97355"
11085,345,"Emily Johnson","1963-01-16","F","Professional","5-10 Miles","Newport Beach","California","United States","92625"
11086,369,"Ryan Brown","1963-06-22","M","Professional","0-1 Miles","Santa Monica","California","United States","90401"
11087,307,"Tamara Liang","1963-04-02","F","Professional","0-1 Miles","Chula Vista","California","United States","91910"
11088,359,"Hunter Davis","1963-05-25","M","Management","2-5 Miles","San Diego","California","United States","92102"
11089,337,"Abigail Price","1962-08-05","F","Management","2-5 Miles","Long Beach","California","United States","90802"
11090,338,"Trevor Bryant","1968-12-13","M","Professional","2-5 Miles","Los Angeles","California","United States","90012"
11091,50,"Dalton Perez","1962-10-02","M","Professional","5-10 Miles","Haney","British Columbia","Canada","V2W 1W2"
11092,22,"Cheryl Diaz","1972-11-02","F","Professional","1-2 Miles","East Brisbane","Queensland","Australia","4169"
11093,19,"Aimee He","1978-09-06","F","Management","0-1 Miles","Wollongong","New South Wales","Australia","2500"
11094,33,"Cedric Ma","1967-09-29","M","Skilled Manual","0-1 Miles","Cranbourne","Victoria","Australia","3977"
11095,13,"Chad Kumar","1968-02-29","M","Skilled Manual","5-10 Miles","Port Macquarie","New South Wales","Australia","2444"
11096,12,"Andrés Anand","1968-02-07","M","Professional","5-10 Miles","North Sydney","New South Wales","Australia","2055"
11097,40,"Edwin Nara","1972-10-23","M","Skilled Manual","5-10 Miles","Warrnambool","Victoria","Australia","3280"
11098,14,"Mallory Rubio","1966-10-29","F","Skilled Manual","0-1 Miles","Rhodes","New South Wales","Australia","2138"
11099,13,"Adam Ross","1966-09-05","M","Professional","0-1 Miles","Port Macquarie","New South Wales","Australia","2444"
11100,28,"Latasha Navarro","1966-03-15","F","Skilled Manual","5-10 Miles","Cloverdale","South Australia","Australia","6105"
11101,33,"Abby Sai","1970-11-05","F","Professional","0-1 Miles","Cranbourne","Victoria","Australia","3977"
11102,18,"Julia Nelson","1970-10-19","F","Professional","1-2 Miles","Sydney","New South Wales","Australia","1002"
11103,3,"Cassie Chande","1981-04-12","F","Professional","5-10 Miles","Darlinghurst","New South Wales","Australia","2010"
11104,23,"Edgar Sara","1975-03-08","M","Professional","0-1 Miles","Gold Coast","Queensland","Australia","4217"
11105,8,"Candace Fernandez","1970-06-27","F","Professional","5-10 Miles","Matraville","New South Wales","Australia","2036"
11106,40,"Jessie Liu","1970-03-11","M","Professional","5-10 Miles","Warrnambool","Victoria","Australia","3280"
11107,17,"Bianca Lin","1976-03-04","F","Professional","5-10 Miles","St. Leonards","New South Wales","Australia","2065"
11108,13,"Kari Alvarez","1969-01-10","F","Professional","0-1 Miles","Port Macquarie","New South Wales","Australia","2444"
11109,38,"Ruben Kapoor","1980-04-30","M","Professional","0-1 Miles","South Melbourne","Victoria","Australia","3205"
11110,3,"Curtis Yang","1967-12-04","M","Skilled Manual","5-10 Miles","Darlinghurst","New South Wales","Australia","2010"
11111,34,"Meredith Gutierrez","1967-08-23","F","Skilled Manual","0-1 Miles","Geelong","Victoria","Australia","3220"
11112,25,"Crystal Wang","1968-03-08","F","Skilled Manual","0-1 Miles","Hervey Bay","Queensland","Australia","4655"
11113,30,"Micheal Blanco","1973-02-17","M","Professional","5-10 Miles","Perth","South Australia","Australia","6006"
11114,14,"Leslie Moreno","1967-11-25","F","Skilled Manual","5-10 Miles","Rhodes","New South Wales","Australia","2138"
11115,17,"Alvin Cai","1967-08-12","M","Skilled Manual","0-1 Miles","St. Leonards","New South Wales","Australia","2065"
11116,18,"Clinton Carlson","1979-04-02","M","Skilled Manual","5-10 Miles","Sydney","New South Wales","Australia","1002"
11117,8,"April Deng","1966-08-21","F","Skilled Manual","10+ Miles","Matraville","New South Wales","Australia","2036"
11118,6,"Alvin Zeng","1962-12-31","M","Skilled Manual","0-1 Miles","Lavender Bay","New South Wales","Australia","2060"
11119,13,"Evan James","1940-10-07","M","Clerical","0-1 Miles","Port Macquarie","New South Wales","Australia","2444"
11120,18,"Beth Jiménez","1942-02-06","F","Management","5-10 Miles","Sydney","New South Wales","Australia","1002"
11121,10,"Orlando Suarez","1966-05-18","M","Skilled Manual","10+ Miles","Newcastle","New South Wales","Australia","2300"
11122,12,"Byron Vazquez","1965-09-30","M","Skilled Manual","5-10 Miles","North Sydney","New South Wales","Australia","2055"
11123,39,"Philip Alvarez","1965-12-18","M","Skilled Manual","10+ Miles","Sunbury","Victoria","Australia","3429"
11124,40,"Ross Jordan","1968-07-23","M","Skilled Manual","5-10 Miles","Warrnambool","Victoria","Australia","3280"
