customerkey,geographykey,name,birthdate,gender,occupation,commutedistance,city,state,country,postalcode
11000,26,Jon Yang,06-10-1971,M,Professional,1-2 Miles,Rockhampton,Queensland,Australia,4700
11001,37,Eugene Huang,10-05-1976,M,Professional,0-1 Miles,Seaford,Victoria,Australia,3198
11002,31,Ruben Torres,09-02-1971,M,Professional,2-5 Miles,Hobart,Tasmania,Australia,7001
11003,11,Christy Zhu,14-08-1973,F,Professional,5-10 Miles,North Ryde,New South Wales,Australia,2113
11004,19,Elizabeth Johnson,05-08-1979,F,Professional,1-2 Miles,Wollongong,New South Wales,Australia,2500
11005,22,Julio Ruiz,01-08-1976,M,Professional,5-10 Miles,East Brisbane,Queensland,Australia,4169
11006,8,Janet Alvarez,02-12-1976,F,Professional,5-10 Miles,Matraville,New South Wales,Australia,2036
11007,40,Marco Mehta,06-11-1969,M,Professional,0-1 Miles,Warrnambool,Victoria,Australia,3280
11008,32,Rob Verhoff,04-07-1975,F,Professional,10+ Miles,Bendigo,Victoria,Australia,3550
11009,25,Shannon Carlson,29-09-1969,M,Professional,5-10 Miles,Hervey Bay,Queensland,Australia,4655
11010,22,Jacquelyn Suarez,05-08-1969,F,Professional,5-10 Miles,East Brisbane,Queensland,Australia,4169
11011,22,Curtis Lu,03-05-1969,M,Professional,10+ Miles,East Brisbane,Queensland,Australia,4169
11012,611,Lauren Walker,14-01-1979,F,Management,1-2 Miles,Bremerton,Washington,United States,98312
11013,543,Ian Jenkins,03-08-1979,M,Management,0-1 Miles,Lebanon,Oregon,United States,97355
11014,634,Sydney Bennett,06-11-1973,F,Management,1-2 Miles,Redmond,Washington,United States,98052
11015,301,Chloe Young,26-08-1984,F,Skilled Manual,5-10 Miles,Burbank,California,United States,91502
11016,329,Wyatt Hill,25-10-1984,M,Skilled Manual,5-10 Miles,Imperial Beach,California,United States,91932
11017,39,Shannon Wang,24-12-1949,F,Skilled Manual,5-10 Miles,Sunbury,Victoria,Australia,3429
11018,32,Clarence Rai,06-10-1955,M,Clerical,5-10 Miles,Bendigo,Victoria,Australia,3550
11019,52,Luke Lal,04-09-1983,M,Skilled Manual,5-10 Miles,Langley,British Columbia,Canada,V3A 4R2
11020,53,Jordan King,19-03-1984,M,Skilled Manual,1-2 Miles,Metchosin,British Columbia,Canada,V9
11021,536,Destiny Wilson,02-03-1984,F,Skilled Manual,1-2 Miles,Beaverton,Oregon,United States,97005
11022,609,Ethan Zhang,10-04-1984,M,Skilled Manual,5-10 Miles,Bellingham,Washington,United States,98225
11023,298,Seth Edwards,09-04-1984,M,Skilled Manual,1-2 Miles,Bellflower,California,United States,90706
11024,311,Russell Xie,16-03-1984,M,Skilled Manual,5-10 Miles,Concord,California,United States,94519
11025,24,Alejandro Beck,22-06-1951,M,Clerical,1-2 Miles,Hawthorne,Queensland,Australia,4171
11026,4,Harold Sai,01-10-1951,M,Clerical,1-2 Miles,Goulburn,New South Wales,Australia,2580
11027,40,Jessie Zhao,05-06-1952,M,Clerical,5-10 Miles,Warrnambool,Victoria,Australia,3280
11028,17,Jill Jimenez,09-10-1951,F,Clerical,1-2 Miles,St. Leonards,New South Wales,Australia,2065
11029,32,Jimmy Moreno,19-06-1952,M,Clerical,1-2 Miles,Bendigo,Victoria,Australia,3550
11030,28,Bethany Yuan,18-02-1958,F,Clerical,1-2 Miles,Cloverdale,South Australia,Australia,6105
11031,8,Theresa Ramos,18-02-1953,F,Skilled Manual,1-2 Miles,Matraville,New South Wales,Australia,2036
11032,35,Denise Stone,08-12-1952,F,Skilled Manual,1-2 Miles,Melbourne,Victoria,Australia,3000
11033,9,Jaime Nath,19-09-1958,M,Skilled Manual,5-10 Miles,Milsons Point,New South Wales,Australia,2061
11034,12,Ebony Gonzalez,16-12-1952,F,Skilled Manual,5-10 Miles,North Sydney,New South Wales,Australia,2055
11035,33,Wendy Dominguez,23-08-1953,F,Clerical,1-2 Miles,Cranbourne,Victoria,Australia,3977
11036,343,Jennifer Russell,16-06-1984,F,Skilled Manual,1-2 Miles,National City,California,United States,91950
11037,49,Chloe Garcia,27-05-1983,F,Clerical,5-10 Miles,Cliffside,British Columbia,Canada,V8Y 1L1
11038,6,Diana Hernandez,20-09-1953,F,Clerical,5-10 Miles,Lavender Bay,New South Wales,Australia,2060
11039,19,Marc Martin,16-06-1954,M,Clerical,5-10 Miles,Wollongong,New South Wales,Australia,2500
11040,642,Jesse Murphy,29-01-1983,M,Skilled Manual,1-2 Miles,Tacoma,Washington,United States,98403
11041,325,Amanda Carter,15-04-1983,F,Skilled Manual,1-2 Miles,Glendale,California,United States,91203
11042,338,Megan Sanchez,11-12-1982,F,Skilled Manual,0-1 Miles,Los Angeles,California,United States,90012
11043,325,Nathan Simmons,23-08-1981,M,Skilled Manual,5-10 Miles,Glendale,California,United States,91203
11044,25,Adam Flores,21-11-1954,M,Clerical,1-2 Miles,Hervey Bay,Queensland,Australia,4655
11045,8,Leonard Nara,16-11-1955,M,Skilled Manual,1-2 Miles,Matraville,New South Wales,Australia,2036
11046,6,Christine Yuan,19-09-1955,F,Skilled Manual,5-10 Miles,Lavender Bay,New South Wales,Australia,2060
11047,34,Jaclyn Lu,27-08-1955,F,Skilled Manual,1-2 Miles,Geelong,Victoria,Australia,3220
11048,39,Jeremy Powell,21-05-1956,M,Skilled Manual,5-10 Miles,Sunbury,Victoria,Australia,3429
11049,307,Carol Rai,15-01-1986,F,Clerical,5-10 Miles,Chula Vista,California,United States,91910
11050,31,Alan Zheng,06-03-1957,M,Skilled Manual,5-10 Miles,Hobart,Tasmania,Australia,7001
11051,21,Daniel Johnson,31-01-1957,M,Skilled Manual,1-2 Miles,Caloundra,Queensland,Australia,4551
11052,8,Heidi Lopez,03-02-1957,F,Clerical,5-10 Miles,Matraville,New South Wales,Australia,2036
11053,359,Ana Price,17-02-1986,F,Skilled Manual,1-2 Miles,San Diego,California,United States,92102
11054,34,Deanna Munoz,07-09-1957,F,Skilled Manual,5-10 Miles,Geelong,Victoria,Australia,3220
11055,22,Gilbert Raje,02-09-1957,M,Skilled Manual,5-10 Miles,East Brisbane,Queensland,Australia,4169
11056,10,Michele Nath,01-10-1958,F,Skilled Manual,5-10 Miles,Newcastle,New South Wales,Australia,2300
11057,5,Carl Andersen,07-04-1970,M,Management,1-2 Miles,Lane Cove,New South Wales,Australia,1597
11058,29,Marc Diaz,23-04-1965,M,Skilled Manual,1-2 Miles,Findon,South Australia,Australia,5023
11059,27,Ashlee Andersen,29-09-1959,F,Skilled Manual,5-10 Miles,Townsville,Queensland,Australia,4810
11060,40,Jon Zhou,14-09-1959,M,Skilled Manual,5-10 Miles,Warrnambool,Victoria,Australia,3280
11061,23,Todd Gao,20-02-1976,M,Skilled Manual,5-10 Miles,Gold Coast,Queensland,Australia,4217
11062,547,Noah Powell,01-03-1981,M,Skilled Manual,5-10 Miles,Portland,Oregon,United States,97205
11063,634,Angela Murphy,04-10-1980,F,Skilled Manual,5-10 Miles,Redmond,Washington,United States,98052
11064,315,Chase Reed,05-06-1981,M,Skilled Manual,5-10 Miles,Downey,California,United States,90241
11065,331,Jessica Henderson,08-04-1979,F,Skilled Manual,1-2 Miles,La Jolla,California,United States,92806
11066,543,Grace Butler,27-05-1979,F,Professional,5-10 Miles,Lebanon,Oregon,United States,97355
11067,632,Caleb Carter,25-03-1982,M,Professional,5-10 Miles,Port Orchard,Washington,United States,98366
11068,40,Tiffany Liang,19-09-1966,F,Skilled Manual,5-10 Miles,Warrnambool,Victoria,Australia,3280
11069,23,Carolyn Navarro,17-09-1966,F,Skilled Manual,1-2 Miles,Gold Coast,Queensland,Australia,4217
11070,39,Willie Raji,02-10-1960,M,Skilled Manual,5-10 Miles,Sunbury,Victoria,Australia,3429
11071,24,Linda Serrano,23-12-1960,F,Skilled Manual,5-10 Miles,Hawthorne,Queensland,Australia,4171
11072,17,Casey Luo,05-08-1960,F,Skilled Manual,1-2 Miles,St. Leonards,New South Wales,Australia,2065
11073,16,Amy Ye,11-02-1962,F,Skilled Manual,5-10 Miles,Springwood,New South Wales,Australia,2777
11074,28,Levi Arun,25-02-1962,M,Skilled Manual,5-10 Miles,Cloverdale,South Australia,Australia,6105
11075,32,Felicia Jimenez,16-05-1963,F,Professional,5-10 Miles,Bendigo,Victoria,Australia,3550
11076,19,Blake Anderson,10-01-1963,M,Professional,5-10 Miles,Wollongong,New South Wales,Australia,2500
11077,36,Leah Ye,19-03-1963,F,Professional,1-2 Miles,Melton,Victoria,Australia,3337
11078,49,Gina Martin,06-01-1985,F,Professional,1-2 Miles,Cliffside,British Columbia,Canada,V8Y 1L1
11079,34,Donald Gonzalez,07-03-1970,M,Management,0-1 Miles,Geelong,Victoria,Australia,3220
11080,30,Damien Chander,13-01-1965,M,Management,0-1 Miles,Perth,South Australia,Australia,6006
11081,311,Savannah Baker,21-01-1972,F,Management,2-5 Miles,Concord,California,United States,94519
11082,322,Angela Butler,01-02-1972,F,Management,1-2 Miles,Fremont,California,United States,94536
11083,336,Alyssa Cox,11-03-1977,F,Management,1-2 Miles,Lincoln Acres,California,United States,91950
11084,543,Lucas Phillips,12-03-1963,M,Skilled Manual,1-2 Miles,Lebanon,Oregon,United States,97355
11085,345,Emily Johnson,16-01-1963,F,Professional,5-10 Miles,Newport Beach,California,United States,92625
11086,369,Ryan Brown,22-06-1963,M,Professional,0-1 Miles,Santa Monica,California,United States,90401
11087,307,Tamara Liang,02-04-1963,F,Professional,0-1 Miles,Chula Vista,California,United States,91910
11088,359,Hunter Davis,25-05-1963,M,Management,2-5 Miles,San Diego,California,United States,92102
11089,337,Abigail Price,05-08-1962,F,Management,2-5 Miles,Long Beach,California,United States,90802
11090,338,Trevor Bryant,13-12-1968,M,Professional,2-5 Miles,Los Angeles,California,United States,90012
11091,50,Dalton Perez,02-10-1962,M,Professional,5-10 Miles,Haney,British Columbia,Canada,V2W 1W2
11092,22,Cheryl Diaz,02-11-1972,F,Professional,1-2 Miles,East Brisbane,Queensland,Australia,4169
11093,19,Aimee He,06-09-1978,F,Management,0-1 Miles,Wollongong,New South Wales,Australia,2500
11094,33,Cedric Ma,29-09-1967,M,Skilled Manual,0-1 Miles,Cranbourne,Victoria,Australia,3977
11095,13,Chad Kumar,29-02-1968,M,Skilled Manual,5-10 Miles,Port Macquarie,New South Wales,Australia,2444
11096,12,Andrés Anand,07-02-1968,M,Professional,5-10 Miles,North Sydney,New South Wales,Australia,2055
11097,40,Edwin Nara,23-10-1972,M,Skilled Manual,5-10 Miles,Warrnambool,Victoria,Australia,3280
11098,14,Mallory Rubio,29-10-1966,F,Skilled Manual,0-1 Miles,Rhodes,New South Wales,Australia,2138
11099,13,Adam Ross,05-09-1966,M,Professional,0-1 Miles,Port Macquarie,New South Wales,Australia,2444
11100,28,Latasha Navarro,15-03-1966,F,Skilled Manual,5-10 Miles,Cloverdale,South Australia,Australia,6105
11101,33,Abby Sai,05-11-1970,F,Professional,0-1 Miles,Cranbourne,Victoria,Australia,3977
11102,18,Julia Nelson,19-10-1970,F,Professional,1-2 Miles,Sydney,New South Wales,Australia,1002
11103,3,Cassie Chande,12-04-1981,F,Professional,5-10 Miles,Darlinghurst,New South Wales,Australia,2010
11104,23,Edgar Sara,08-03-1975,M,Professional,0-1 Miles,Gold Coast,Queensland,Australia,4217
11105,8,Candace Fernandez,27-06-1970,F,Professional,5-10 Miles,Matraville,New South Wales,Australia,2036
11106,40,Jessie Liu,11-03-1970,M,Professional,5-10 Miles,Warrnambool,Victoria,Australia,3280
11107,17,Bianca Lin,04-03-1976,F,Professional,5-10 Miles,St. Leonards,New South Wales,Australia,2065
11108,13,Kari Alvarez,10-01-1969,F,Professional,0-1 Miles,Port Macquarie,New South Wales,Australia,2444
11109,38,Ruben Kapoor,30-04-1980,M,Professional,0-1 Miles,South Melbourne,Victoria,Australia,3205
11110,3,Curtis Yang,04-12-1967,M,Skilled Manual,5-10 Miles,Darlinghurst,New South Wales,Australia,2010
11111,34,Meredith Gutierrez,23-08-1967,F,Skilled Manual,0-1 Miles,Geelong,Victoria,Australia,3220
11112,25,Crystal Wang,08-03-1968,F,Skilled Manual,0-1 Miles,Hervey Bay,Queensland,Australia,4655
11113,30,Micheal Blanco,17-02-1973,M,Professional,5-10 Miles,Perth,South Australia,Australia,6006
11114,14,Leslie Moreno,25-11-1967,F,Skilled Manual,5-10 Miles,Rhodes,New South Wales,Australia,2138
11115,17,Alvin Cai,12-08-1967,M,Skilled Manual,0-1 Miles,St. Leonards,New South Wales,Australia,2065
